BENCHMARK STARTED
1539953669.073389 54
1539953669.495608 54
1539953669.918596 54
1539953670.331029 54
1539953670.776573 54
1539953671.214465 54
1539953671.625903 55
1539953672.045598 54
1539953672.536163 55
1539953672.978539 55
1539953673.399899 54
1539953673.813486 54
1539953674.282386 54
1539953674.695322 55
1539953675.114595 54
1539953675.535433 54
1539953675.985189 54
1539953676.399536 54
1539953676.822534 55
1539953677.234416 54
1539953677.715594 54
1539953678.150468 54
1539953678.573295 54
1539953678.992779 54
1539953679.459913 54
1539953679.874111 54
1539953680.290987 54
1539953680.702337 55
1539953681.116695 54
1539953681.536442 54
1539953681.956517 54
1539953682.368039 54
1539953682.805348 54
1539953683.218278 54
1539953683.629644 54
1539953684.077575 54
1539953684.499223 55
1539953684.925059 55
1539953685.336673 54
1539953685.796726 54
1539953686.213661 55
1539953686.634361 54
1539953687.046917 54
1539953687.533429 54
1539953687.988709 54
1539953688.416505 54
1539953688.824229 54
1539953689.306586 54
1539953689.735732 54
1539953690.150841 54
1539953690.562533 54
1539953691.027242 55
1539953691.446795 54
1539953691.858922 54
1539953692.270435 54
1539953692.683970 54
1539953693.095982 54
1539953693.511832 54
1539953693.930502 55
1539953694.359602 55
1539953694.769586 55
1539953695.180542 54
1539953695.643141 54
1539953696.084561 54
1539953696.510324 54
1539953696.928779 54
1539953697.419152 55
1539953697.858495 54
1539953698.278972 55
1539953698.688143 54
1539953699.130578 54
1539953699.566135 54
1539953699.992817 54
1539953700.406434 54
1539953700.831759 54
1539953701.242242 54
1539953701.655597 54
1539953702.070090 54
1539953702.507789 54
1539953702.924547 54
1539953703.336484 54
1539953703.745271 55
1539953704.159445 54
1539953704.570957 54
1539953704.985904 54
1539953705.453376 54
1539953705.875248 54
1539953706.295617 54
1539953706.705271 54
1539953707.183367 54
1539953707.610067 54
1539953708.035936 54
1539953708.456477 54
1539953708.943058 55
1539953709.380581 54
1539953709.802723 54
1539953710.212589 55
1539953710.713207 54
1539953711.130931 55
1539953711.555888 54
1539953711.973827 55
1539953712.424194 55
1539953712.838008 54
1539953713.251634 54
1539953713.661566 55
1539953714.099847 54
1539953714.518450 54
1539953714.932996 54
1539953715.346485 54
1539953715.761643 55
1539953716.172490 55
1539953716.585262 54
1539953717.035192 54
1539953717.478774 54
1539953717.900156 54
1539953718.313893 54
1539953718.785133 54
1539953719.196401 55
1539953719.613598 54
1539953720.031712 54
1539953720.493532 54
1539953720.935276 54
1539953721.353393 54
1539953721.761534 54
1539953722.253479 54
1539953722.681360 55
1539953723.099787 54
1539953723.516708 54
1539953723.964565 54
1539953724.380266 54
1539953724.795864 54
1539953725.208272 54
1539953725.651076 54
1539953726.066154 54
1539953726.486517 55
1539953726.893486 54
1539953727.349715 54
1539953727.765382 54
1539953728.178797 54
1539953728.591336 54
1539953729.041884 54
1539953729.459951 54
1539953729.867334 54
1539953730.279978 54
1539953730.699763 54
1539953731.113994 54
1539953731.528062 54
1539953731.942336 54
1539953732.354361 54
1539953732.762872 55
1539953733.173171 54
1539953733.633113 54
1539953734.072350 55
1539953734.498258 54
1539953734.913634 54
1539953735.353189 54
1539953735.764072 54
1539953736.185941 54
1539953736.600202 54
1539953737.063026 54
1539953737.480705 55
1539953737.898229 54
1539953738.313957 54
1539953738.783064 55
1539953739.191290 54
1539953739.611483 54
1539953740.025704 54
1539953740.477632 54
1539953740.890005 54
1539953741.313660 54
1539953741.723277 54
1539953742.206471 54
1539953742.639095 54
1539953743.056480 54
1539953743.472578 54
1539953743.943668 54
1539953744.359264 54
1539953744.768700 54
1539953745.177153 55
1539953745.622723 54
1539953746.038440 54
1539953746.463773 54
1539953746.872715 54
1539953747.358408 55
1539953747.768608 54
1539953748.185284 54
1539953748.597759 54
1539953749.060735 54
1539953749.477782 54
1539953749.889347 54
1539953750.304220 54
1539953750.718810 54
1539953751.129779 54
1539953751.547759 54
1539953751.961951 54
1539953752.384987 55
1539953752.803609 55
1539953753.213199 54
1539953753.675463 54
1539953754.108465 54
1539953754.537456 54
1539953754.952772 54
1539953755.436357 54
1539953755.869418 55
1539953756.290851 54
1539953756.700101 55
1539953757.183088 55
1539953757.620991 54
1539953758.042954 54
1539953758.469099 54
1539953758.939625 55
1539953759.350117 55
1539953759.763417 54
1539953760.174306 55
1539953760.604769 54
1539953761.023463 54
1539953761.438097 54
1539953761.849127 54
1539953762.263611 55
1539953762.675201 55
1539953763.087612 54
1539953763.552603 55
1539953763.970420 54
1539953764.386460 54
1539953764.801552 55
1539953765.285189 54
1539953765.719961 54
1539953766.135592 54
1539953766.549735 54
1539953766.988280 54
1539953767.403413 54
1539953767.825719 54
1539953768.239378 54
1539953768.725769 54
1539953769.152883 54
1539953769.575742 55
1539953769.992816 55
1539953770.466554 55
1539953770.873877 54
1539953771.288039 54
1539953771.696057 54
1539953772.125349 55
1539953772.543821 54
1539953772.959758 54
1539953773.370024 55
1539953773.782968 54
1539953774.194161 55
1539953774.608601 55
1539953775.063308 54
1539953775.509767 54
1539953775.932563 54
1539953776.345135 55
1539953776.833412 55
1539953777.263149 54
1539953777.682747 54
1539953778.090450 55
1539953778.547974 55
1539953778.969227 54
1539953779.391146 54
1539953779.806296 54
1539953780.261713 55
1539953780.675434 54
1539953781.096327 54
1539953781.523430 54
1539953782.006578 54
1539953782.426036 54
1539953782.841032 54
1539953783.252087 54
1539953783.696819 54
1539953784.110637 54
1539953784.531844 54
1539953784.943452 54
1539953785.359557 54
1539953785.778641 55
1539953786.191099 54
1539953786.626308 54
1539953787.062884 55
1539953787.489602 54
1539953787.904943 54
1539953788.395623 54
1539953788.843883 54
1539953789.263942 55
1539953789.671894 54
1539953790.120897 55
1539953790.540651 55
1539953790.964097 54
1539953791.380822 54
1539953791.832895 54
1539953792.248847 54
1539953792.668870 54
1539953793.082169 55
1539953793.541815 54
1539953793.963916 55
1539953794.374881 54
1539953794.789248 54
1539953795.265188 54
1539953795.685770 55
1539953796.108055 55
1539953796.529334 54
1539953796.987919 54
1539953797.398899 54
1539953797.814495 54
1539953798.224575 54
1539953798.640337 54
1539953799.055161 54
1539953799.474223 54
1539953799.903818 54
1539953800.355665 55
1539953800.768532 55
1539953801.189912 54
1539953801.656134 54
1539953802.070745 54
1539953802.502238 55
1539953802.922037 54
1539953803.404494 54
1539953803.859980 54
1539953804.281910 54
1539953804.691078 54
1539953805.139533 54
1539953805.562136 54
1539953805.989515 54
1539953806.403625 54
1539953806.852156 54
1539953807.260700 54
1539953807.673509 54
1539953808.109273 54
1539953808.535084 54
1539953808.953881 54
1539953809.365870 54
1539953809.778776 54
1539953810.211492 54
1539953810.621408 54
1539953811.034204 54
1539953811.487144 54
1539953811.906113 54
1539953812.329144 54
1539953812.739640 54
1539953813.233219 54
1539953813.665346 54
1539953814.084116 54
1539953814.504843 54
1539953815.003183 54
1539953815.435127 54
1539953815.854700 54
1539953816.270540 54
1539953816.744966 54
1539953817.154785 54
1539953817.569818 54
1539953817.985408 54
1539953818.402166 55
1539953818.824945 54
1539953819.236122 54
1539953819.649505 54
1539953820.073212 55
1539953820.492893 54
1539953820.910806 54
1539953821.345264 54
1539953821.756926 55
1539953822.170564 54
1539953822.589226 54
1539953823.054818 54
1539953823.473401 54
1539953823.900314 54
1539953824.312653 55
1539953824.791936 54
1539953825.230439 54
1539953825.646013 54
1539953826.057461 54
1539953826.508149 54
1539953826.925717 54
1539953827.345321 55
1539953827.756212 54
1539953828.208721 55
1539953828.620087 54
1539953829.043722 54
1539953829.467417 54
1539953829.946713 54
1539953830.360894 54
