BENCHMARK STARTED
1539957515.292033 54
1539957515.706355 54
1539957516.124252 54
1539957516.568506 55
1539957517.009146 54
1539957517.434014 55
1539957517.845868 55
1539957518.333106 54
1539957518.761513 54
1539957519.180100 54
1539957519.598405 55
1539957520.103312 54
1539957520.536782 55
1539957520.959976 54
1539957521.375702 54
1539957521.844806 55
1539957522.252483 54
1539957522.674469 54
1539957523.094711 54
1539957523.534705 55
1539957523.949062 55
1539957524.364913 54
1539957524.778521 54
1539957525.189688 54
1539957525.608186 54
1539957526.024260 55
1539957526.479215 54
1539957526.894801 55
1539957527.307984 54
1539957527.726277 55
1539957528.204407 55
1539957528.654525 54
1539957529.075069 54
1539957529.492208 54
1539957529.939365 54
1539957530.349869 54
1539957530.768110 54
1539957531.178726 54
1539957531.655661 55
1539957532.073797 54
1539957532.494466 55
1539957532.908241 55
1539957533.394749 54
1539957533.829629 55
1539957534.252263 54
1539957534.664601 55
1539957535.110528 54
1539957535.528582 54
1539957535.943458 54
1539957536.357535 54
1539957536.804717 54
1539957537.218142 55
1539957537.633442 55
1539957538.049731 54
1539957538.483114 54
1539957538.899690 55
1539957539.316009 54
1539957539.733628 54
1539957540.145759 55
1539957540.562684 55
1539957540.975497 55
1539957541.440755 55
1539957541.881712 54
1539957542.302502 54
1539957542.712258 54
1539957543.195177 56
1539957543.641100 55
1539957544.067633 55
1539957544.477911 54
1539957544.911945 55
1539957545.337937 54
1539957545.757921 54
1539957546.171291 55
1539957546.603058 55
1539957547.021452 54
1539957547.444350 54
1539957547.856302 54
1539957548.296524 54
1539957548.708746 54
1539957549.132452 55
1539957549.551615 54
1539957549.983303 54
1539957550.408948 54
1539957550.823564 54
1539957551.238169 55
1539957551.704523 54
1539957552.121118 54
1539957552.540687 54
1539957552.953150 55
1539957553.376220 55
1539957553.788571 55
1539957554.199578 55
1539957554.616063 55
1539957555.032274 54
1539957555.446035 54
1539957555.867558 54
1539957556.339988 54
1539957556.771107 55
1539957557.189710 55
1539957557.608546 54
1539957558.064750 54
1539957558.480222 55
1539957558.904240 54
1539957559.316171 55
1539957559.796244 55
1539957560.241892 54
1539957560.662381 55
1539957561.081632 54
1539957561.571371 54
1539957561.985605 54
1539957562.403735 54
1539957562.817955 54
1539957563.261745 54
1539957563.673337 54
1539957564.091654 55
1539957564.508784 54
1539957564.922146 54
1539957565.332321 54
1539957565.743920 55
1539957566.172854 55
1539957566.621940 54
1539957567.049262 54
1539957567.461793 54
1539957567.916655 54
1539957568.330505 54
1539957568.749151 55
1539957569.160320 54
1539957569.606817 54
1539957570.023246 54
1539957570.443716 55
1539957570.856382 54
1539957571.326671 54
1539957571.741096 55
1539957572.166646 55
1539957572.586780 54
1539957573.081030 54
1539957573.501620 54
1539957573.919747 54
1539957574.329792 54
1539957574.815185 55
1539957575.249648 54
1539957575.668625 54
1539957576.086562 54
1539957576.557732 54
1539957576.971192 54
1539957577.392705 54
1539957577.804379 55
1539957578.222864 55
1539957578.634768 54
1539957579.055697 55
1539957579.470585 54
1539957579.910787 55
1539957580.324074 55
1539957580.736839 54
1539957581.214895 54
1539957581.632962 55
1539957582.058549 55
1539957582.469461 54
1539957582.952677 54
1539957583.369780 54
1539957583.785989 54
1539957584.197446 54
1539957584.692120 54
1539957585.124406 54
1539957585.550477 55
1539957585.960827 55
1539957586.413950 54
1539957586.827811 55
1539957587.248244 54
1539957587.660815 54
1539957588.145117 54
1539957588.571492 54
1539957588.986869 54
1539957589.403457 54
1539957589.873238 55
1539957590.287653 54
1539957590.698760 54
1539957591.114582 54
1539957591.567734 54
1539957591.979314 54
1539957592.394346 54
1539957592.805265 55
1539957593.220679 54
1539957593.636093 54
1539957594.060439 54
1539957594.494404 55
1539957594.945178 54
1539957595.369349 55
1539957595.780887 55
1539957596.271550 55
1539957596.705762 54
1539957597.127907 55
1539957597.544834 54
1539957598.041244 55
1539957598.475000 54
1539957598.899682 55
1539957599.315613 54
1539957599.760859 55
1539957600.171000 54
1539957600.592087 54
1539957601.009114 54
1539957601.431190 54
1539957601.845075 55
1539957602.258001 54
1539957602.670634 54
1539957603.090084 54
1539957603.503741 54
1539957603.914187 54
1539957604.375583 55
1539957604.828971 54
1539957605.250449 54
1539957605.661059 54
1539957606.113530 54
1539957606.531668 54
1539957606.948596 55
1539957607.362307 54
1539957607.824664 55
1539957608.240286 54
1539957608.662288 55
1539957609.078436 55
1539957609.531458 54
1539957609.942994 54
1539957610.367358 55
1539957610.778555 55
1539957611.221132 54
1539957611.636184 54
1539957612.060175 54
1539957612.472600 55
1539957612.919050 54
1539957613.332982 55
1539957613.751581 54
1539957614.161900 55
1539957614.602291 55
1539957615.018496 55
1539957615.445236 54
1539957615.859874 54
1539957616.291653 54
1539957616.702963 54
1539957617.126586 54
1539957617.545927 54
1539957617.986138 54
1539957618.404156 55
1539957618.827950 54
1539957619.240959 54
1539957619.671589 54
1539957620.088764 55
1539957620.504870 54
1539957620.915521 55
1539957621.360709 55
1539957621.772881 54
1539957622.185362 54
1539957622.603424 54
1539957623.020139 54
1539957623.434711 54
1539957623.845475 54
1539957624.258111 54
1539957624.687907 54
1539957625.105470 54
1539957625.529983 54
1539957626.019655 54
1539957626.472083 55
1539957626.897745 54
1539957627.310325 55
1539957627.730514 55
1539957628.145026 54
1539957628.570188 55
1539957628.984488 54
1539957629.465401 55
1539957629.882599 55
1539957630.300628 55
1539957630.709667 55
1539957631.204514 54
1539957631.641248 54
1539957632.076859 54
1539957632.495213 54
1539957632.960522 54
1539957633.373069 55
1539957633.788135 55
1539957634.197687 54
1539957634.620722 55
1539957635.040793 55
1539957635.448856 55
1539957635.866270 55
1539957636.282382 54
1539957636.692278 54
1539957637.118100 55
1539957637.558327 54
1539957637.971284 54
1539957638.385934 54
1539957638.805302 55
1539957639.265495 54
1539957639.677964 54
1539957640.103445 55
1539957640.520468 54
1539957641.001454 55
1539957641.417293 54
1539957641.836572 55
1539957642.252319 55
1539957642.678202 55
1539957643.098849 54
1539957643.524321 54
1539957643.938106 54
1539957644.390364 54
1539957644.809070 54
1539957645.229425 54
1539957645.641648 55
1539957646.103114 55
1539957646.523174 55
1539957646.941649 54
1539957647.356356 55
1539957647.826135 54
1539957648.242113 55
1539957648.656395 54
1539957649.073829 54
1539957649.559009 55
1539957649.972582 55
1539957650.386832 55
1539957650.796106 54
1539957651.264639 55
1539957651.676573 55
1539957652.096841 54
1539957652.518476 55
1539957652.943590 55
1539957653.365014 54
1539957653.779374 55
1539957654.189911 55
1539957654.610058 55
1539957655.026126 54
1539957655.439476 54
1539957655.896586 55
1539957656.350335 54
1539957656.771333 54
1539957657.180716 55
1539957657.632199 54
1539957658.052170 55
1539957658.473876 55
1539957658.895314 55
1539957659.342343 54
1539957659.752117 55
1539957660.173841 54
1539957660.592322 54
1539957661.032245 54
1539957661.448935 54
1539957661.868400 54
1539957662.282327 55
1539957662.719328 55
1539957663.139155 55
1539957663.567726 54
1539957663.981261 55
1539957664.431664 55
1539957664.846194 55
1539957665.260591 54
1539957665.671680 54
1539957666.124085 55
1539957666.547488 54
1539957666.957611 54
1539957667.370288 54
1539957667.808934 55
1539957668.219553 54
1539957668.640349 54
1539957669.059208 55
1539957669.476468 55
1539957669.898354 54
1539957670.307832 54
1539957670.743162 55
1539957671.181450 55
1539957671.610390 55
1539957672.029041 55
1539957672.531887 55
1539957672.948038 54
1539957673.368546 54
1539957673.784859 56
1539957674.273528 55
1539957674.705267 55
1539957675.122191 54
1539957675.551207 55
1539957675.992332 55
1539957676.413066 54
1539957676.826701 54
1539957677.241236 54
1539957677.695148 54
1539957678.116288 54
1539957678.536310 54
1539957678.949997 54
1539957679.391176 54
1539957679.803774 54
1539957680.216282 54
1539957680.641934 55
1539957681.065649 54
1539957681.483916 55
1539957681.901426 54
1539957682.343464 54
1539957682.783761 55
1539957683.193247 54
1539957683.617456 55
1539957684.078548 54
1539957684.496243 55
1539957684.921751 54
1539957685.333209 54
1539957685.780884 55
1539957686.202673 55
1539957686.633335 55
1539957687.052261 54
1539957687.503287 55
1539957687.916345 55
1539957688.335150 54
1539957688.748272 55
1539957689.249491 54
1539957689.683763 55
1539957690.110240 54
1539957690.528430 55
1539957691.018122 55
1539957691.433504 55
1539957691.844924 55
1539957692.260860 54
1539957692.732745 54
1539957693.149633 55
1539957693.570437 55
1539957693.981111 54
1539957694.400638 54
1539957694.813965 55
1539957695.225272 54
1539957695.642947 55
1539957696.064796 55
1539957696.482441 55
1539957696.908464 54
1539957697.364812 55
1539957697.816417 54
1539957698.240935 54
1539957698.655234 54
1539957699.148134 54
1539957699.593136 55
1539957700.020834 55
1539957700.435584 54
1539957700.890819 54
1539957701.306261 54
1539957701.723755 55
1539957702.146415 55
1539957702.610140 55
1539957703.029125 54
1539957703.445981 55
1539957703.861265 54
1539957704.293411 55
1539957704.703772 54
1539957705.117911 54
1539957705.533641 55
1539957705.948880 54
1539957706.365077 55
1539957706.780891 55
1539957707.214798 54
1539957707.658205 55
1539957708.099390 55
1539957708.516418 54
1539957708.965306 54
1539957709.381831 55
1539957709.801416 54
1539957710.212137 54
1539957710.665085 54
1539957711.092361 54
1539957711.519421 55
1539957711.932923 54
1539957712.367802 54
1539957712.780602 54
1539957713.200422 55
1539957713.615559 54
1539957714.085591 55
1539957714.510794 54
1539957714.934104 55
1539957715.342602 54
1539957715.791037 55
1539957716.202576 55
1539957716.617752 55
1539957717.036275 54
1539957717.453787 54
1539957717.871195 54
1539957718.287435 54
1539957718.696813 54
1539957719.136507 55
1539957719.554426 54
1539957719.969898 55
1539957720.445039 54
1539957720.891429 54
1539957721.308225 54
1539957721.718588 55
1539957722.164108 54
1539957722.583567 54
1539957723.006136 55
1539957723.420483 55
1539957723.872496 55
1539957724.303360 54
1539957724.724155 54
1539957725.142111 54
1539957725.580838 55
1539957725.995623 54
1539957726.419670 55
1539957726.836775 55
